,Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
0,Jamaican Jerk Chicken,⭐⭐⭐⭐⭐,Average,Luke loved this one,Main Dish,30.0,,Taste From Home,,Chicken,,,12/8/2018,12/28/2018
1,Pasta Salad,⭐⭐⭐,Fairly Easy,Make night before,Salad,20.0,,Taste From Home,,"Kielbasa,Noodles",,,,#ERROR
2,Lasagna,⭐⭐⭐,Fairly Easy,Make night before,Main Dish,45.0,,Taste From Home,,"Sausage,Noodles",,,1/6/2019,2/22/2019
3,Hearty Pancakes,⭐⭐⭐⭐,Average,Makes enough for 2 days,Breakfast,20.0,Image 29 April 2017 07:50 AM.jpg (https://dl.airtable.com/9S7WQfpnRKexAdJ69gTf_Image%2029%20April%202017%2007%3A50%20AM.jpg),Taste From Home,,"Milk,Eggs,Corn Meal",,,,#ERROR
4,Summer Garden Couscous Salad,⭐⭐⭐⭐,Hard,,Salad,30.0,Image 08 May 2017 07:00 PM.jpg (https://dl.airtable.com/axstjUrrQsW0KmaMLsbu_Image%2008%20May%202017%2007%3A00%20PM.jpg),Taste of Home,287.0,Vegetarian,,,11/18/2018,12/18/2018
5,Squash Corn Chowder,⭐⭐,Hard,,Main Dish,45.0,Image 08 May 2017 07:06 PM.jpg (https://dl.airtable.com/QmOvp4YhRK2CZ0uT2tHX_Image%2008%20May%202017%2007%3A06%20PM.jpg),Taste From Home,,"Vegetarian,Potatoes",,,5/8/2017,7/9/2017
6,"White beans, tomatoes, and spinach",⭐⭐⭐,Fairly Easy,Luke likes this one,Main Dish,30.0,Image 10 May 2017 07:14 PM.jpg (https://dl.airtable.com/eB7Jmc7MSAyzU4CsqdVc_Image%2010%20May%202017%2007%3A14%20PM.jpg),Taste From Home,,"Rice,Vegetarian,Beans,Eggs",,,1/7/2019,2/23/2019
7,Spaghetti,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,15.0,,Taste From Home,,"Noodles,Marinara Sauce",,,6/4/2018,6/24/2018
8,Scones,⭐⭐⭐⭐⭐,Super Simple,Make dough night before,Baking Basics,45.0,Image 23 June 2017 11:21 AM.jpg (https://dl.airtable.com/GAUMr6ufTuACREdey1Xg_Image%2023%20June%202017%2011%3A21%20AM.jpg),"Pinterest,Taste of Home",,,,,5/13/2017,6/2/2017
9,Pizza,⭐⭐⭐⭐⭐,Average,Use half whole wheat flour,Main Dish,120.0,Image 14 May 2017 02:11 PM.jpg (https://dl.airtable.com/Zj7GLRdSPCtgYIU4cqCA_Image%2014%20May%202017%2002%3A11%20PM.jpg),Taste From Home,,"Sausage,Cheese",,,5/5/2017,5/25/2017
10,Stir-Fry,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,25.0,,Taste of Home,4.0,"Chicken,Rice",,,2/5/2019,2/25/2019
11,Rustic Italian Tortellini Soup,⭐⭐⭐⭐,Hard,,Main Dish,30.0,,Taste of Home,62.0,"Sausage,Noodles,Cheese",,,6/18/2017,7/18/2017
12,Swedish Meatballs,⭐⭐⭐,Very Difficult,,Main Dish,90.0,,Taste of Home,110.0,"Beef,Noodles,Eggs",,,,#ERROR
